,,,
Риски,ФАКТОРЫ,МЕРА,"ДУАЛЬНЫЕ (ЕСЛИ РИСК-ФАКТОР ЕСТЬ, ТО ЗНАЧИТ, ЧТО МЕРЫ ИЗ ЯЧЕЙКИ НЕТ И НАОБОРОТ)"
SUPPLY,UFR-064,UMF-044,UMF-044
KNOW,UFR-013,UMF-007,UMF-007
KNOW,UFR-077,UMF-021,UMF-021
KNOW,UFR-077,UMF-022,UMF-021
KNOW,UFR-028,UMF-031,UMF-031
KNOW,UFR-028,UMF-036,UMF-031
KNOW,UFR-028,UMF-011,UMF-031
KNOW,UFR-028,UMF-062,UMF-031
KNOW,UFR-028,UMF-007,UMF-031
KNOW,UFR-028,UMF-037,UMF-031
KNOW,UFR-030,UMF-033,UMF-031
KNOW,UFR-039,UMF-033,UMF-033
KNOW,UFR-030,UMF-062,UMF-031
KNOW,UFR-039,UMF-062,UMF-033
KNOW,UFR-030,UMF-031,UMF-031
KNOW,UFR-034,UMF-032,UMF-032
KNOW,UFR-035,UMF-031,UMF-031
KNOW,UFR-022,UMF-090,UMF-090
KNOW,UFR-020,UMF-090,
KNOW,UFR-023,,
KNOW,UFR-024,,
KNOW,UFR-027,UMF-077,UMF-077
KNOW,UFR-027,UMF-076,UMF-077
KNOW,UFR-072,UMF-021,UMF-011
KNOW,UFR-072,UMF-022,UMF-011
KNOW,UFR-075,UMF-036,UMF-065
KNOW,UFR-075,UMF-011,UMF-065
KNOW,UFR-075,UMF-065,UMF-065
KNOW,UFR-075,UMF-067,UMF-065
KNOW,UFR-075,UMF-037,UMF-065
KNOW,UFR-076,UMF-031,UMF-066
KNOW,UFR-076,UMF-065,UMF-066
KNOW,UFR-076,UMF-064,UMF-066
KNOW,UFR-076,UMF-067,UMF-066
KNOW,UFR-036,UMF-039,UMF-039
KNOW,UFR-037,UMF-038,
KNOW,UFR-038,UMF-040,UMF-040
LEAK,UFR-014,UMF-069,
LEAK,UFR-014,UMF-013,
LEAK,UFR-014,UMF-008,
LEAK,UFR-014,UMF-009,
LEAK,UFR-001,UMF-003,
LEAK,UFR-001,UMF-069,
LEAK,UFR-001,UMF-006,
LEAK,UFR-001,UMF-001,
LEAK,UFR-001,UMF-009,
LEAK,UFR-012,UMF-069,UMF-103
LEAK,UFR-012,UMF-006,UMF-103
LEAK,UFR-002,UMF-001,
LEAK,UFR-003,UMF-001,
LEAK,UFR-005,UMF-001,
LEAK,UFR-005,UMF-003,
LEAK,UFR-029,UMF-069,UMF-034
LEAK,UFR-029,UMF-034,UMF-034
LEAK,UFR-033,UMF-013,
LEAK,UFR-033,UMF-009,
LEAK,UFR-033,,
LEAK,UFR-070,UMF-069,UMF-011
LEAK,UFR-070,UMF-013,UMF-011
LEAK,UFR-070,UMF-059,UMF-011
LEAK,UFR-070,UMF-011,UMF-011
LEAK,UFR-072,UMF-011,UMF-011
LEAK,UFR-011,UMF-015,UMF-015
LEAK,UFR-082,UMF-059,UMF-041
LEAK,UFR-082,UMF-041,UMF-041
LEAK,UFR-083,UMF-042,UMF-042
LEAK,UFR-083,UMF-041,UMF-042
LEAK,UFR-041,UMF-069,
LEAK,UFR-041,,
LEAK,UFR-041,UMF-041,
LEAK,UFR-086,UMF-102,
LEAK,UFR-086,UMF-056,
LEAK,UFR-086,UMF-008,
LEAK,UFR-093,UMF-102,
LEAK,UFR-093,UMF-009,
LEAK,UFR-021,UMF-043,
LEAK,UFR-021,UMF-090,
LEAK,UFR-102,UMF-013,UMF-059
LEAK,UFR-102,UMF-059,UMF-059
IPI,UFR-006,UMF-069,
IPI,UFR-006,UMF-098,
IPI,UFR-006,UMF-006,
IPI,UFR-006,UMF-002,
IPI,UFR-006,UMF-004,
IPI,UFR-006,UMF-018,
IPI,UFR-006,UMF-005,
IPI,UFR-003,UMF-069,
IPI,UFR-003,UMF-035,
IPI,UFR-003,UMF-006,
IPI,UFR-003,UMF-002,
IPI,UFR-003,UMF-004,
IPI,UFR-003,UMF-018,
IPI,UFR-003,UMF-005,
IPI,UFR-032,,
IPI,UFR-032,UMF-060,
IPI,UFR-032,UMF-069,
IPI,UFR-032,UMF-063,
IPI,UFR-032,UMF-055,
IPI,UFR-032,UMF-034,
IPI,UFR-032,UMF-035,
IPI,UFR-032,UMF-004,
IPI,UFR-032,UMF-018,
IPI,UFR-032,UMF-005,
IPI,UFR-030,UMF-031,UMF-031
IPI,UFR-031,,
IPI,UFR-030,UMF-060,UMF-031
IPI,UFR-031,UMF-060,
IPI,UFR-030,UMF-069,UMF-031
IPI,UFR-031,UMF-069,
IPI,UFR-030,UMF-063,UMF-031
IPI,UFR-031,UMF-063,
IPI,UFR-030,UMF-034,UMF-031
IPI,UFR-031,UMF-034,
IPI,UFR-030,UMF-035,UMF-031
IPI,UFR-031,UMF-035,
IPI,UFR-030,UMF-004,UMF-031
